Year,Location,Average_Daily_Average_Temp,Average_Daily_Max_Temp,Average_Daily_Min_Temp
2013,"Sacramento, California",65.09150326797386,79.33986928104575,50.287581699346404
2014,"Sacramento, California",64.66027397260274,77.43013698630136,51.37534246575343
2015,"Sacramento, California",64.04931506849314,77.08767123287672,50.53150684931507
2016,"Sacramento, California",62.86065573770492,75.31420765027322,49.959016393442624
2017,"Sacramento, California",62.9013698630137,75.31232876712329,49.986301369863014
2018,"Sacramento, California",62.07397260273972,75.14520547945206,48.47123287671233
2019,"Sacramento, California",62.46849315068493,74.66849315068494,49.794520547945204
2020,"Sacramento, California",63.931693989071036,77.6311475409836,49.73224043715847
2021,"Sacramento, California",62.64931506849315,75.74794520547945,49.0958904109589
2022,"Sacramento, California",63.12602739726027,76.96712328767123,48.79178082191781
