Year,Location,Average_Daily_Average_Temp,Average_Daily_Max_Temp,Average_Daily_Min_Temp
2013,"Topeka, Kansas",58.96078431372549,69.99673202614379,47.450980392156865
2014,"Topeka, Kansas",55.032876712328765,66.18082191780822,43.45479452054794
2015,"Topeka, Kansas",56.96986301369863,67.97534246575343,45.45479452054794
2016,"Topeka, Kansas",58.39890710382514,69.31693989071039,46.97540983606557
2017,"Topeka, Kansas",57.48219178082192,68.64383561643835,45.99452054794521
2018,"Topeka, Kansas",56.25479452054795,67.47945205479452,44.57808219178082
2019,"Topeka, Kansas",55.38904109589041,65.58356164383562,44.73698630136986
2020,"Topeka, Kansas",56.666666666666664,67.50546448087432,45.33879781420765
2021,"Topeka, Kansas",57.515068493150686,68.41917808219178,46.0986301369863
2022,"Topeka, Kansas",56.77685950413223,68.85950413223141,44.225895316804404
